goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
map f (concat xss) = concat (map (map f) xss),False,123.1124,auto,qwen2.5-coder:7b,529,1,0,True,True
take n (take m xs) = take (min n m) xs,False,127.5556,auto,qwen2.5-coder:7b,216,1,0,True,True
drop n (drop m xs) = drop (n + m) xs,True,67.2665,auto,qwen2.5-coder:7b,152,0,0,False,True
take n xs = take n (xs @ ys) ⟷ n ≤ length xs,True,134.2361,auto,qwen2.5-coder:7b,282,0,0,False,True
drop n (xs @ ys) = (drop n xs) @ (drop (n - length xs) ys),True,108.3080,auto,qwen2.5-coder:7b,328,0,0,False,True
rev (map f xs) = map f (rev xs),True,105.9642,auto,qwen2.5-coder:7b,110,1,0,False,True
set (filter P xs) = {x ∈ set xs. P x},False,126.2335,auto,qwen2.5-coder:7b,165,0,0,True,True
distinct xs ⟷ length xs = length (remdups xs),True,100.4083,auto,qwen2.5-coder:7b,237,1,0,False,True
remdups (remdups xs) = remdups xs,True,16.5168,auto,qwen2.5-coder:7b,220,0,0,False,True
"zip (map f xs) (map g ys) = map (λp. (f (fst p), g (snd p))) (zip xs ys)",False,691.1696,auto,qwen2.5-coder:7b,237,0,0,True,True
length (zip xs ys) = min (length xs) (length ys),True,1223.6221,auto,qwen2.5-coder:7b,750,0,0,False,True
map fst (zip xs ys) = take (min (length xs) (length ys)) xs,False,129.3735,auto,qwen2.5-coder:7b,351,0,0,True,True
map snd (zip xs ys) = take (min (length xs) (length ys)) ys,False,625.9886,auto,qwen2.5-coder:7b,319,0,0,True,True
set (rev xs) = set xs,True,62.1286,auto,qwen2.5-coder:7b,124,0,0,False,True
(Suc m ≤ Suc n) ⟷ (m ≤ n),False,122.8087,auto,qwen2.5-coder:7b,219,1,0,True,True
(m::nat) ≤ n ⟶ m ≤ n + k,True,15.3210,auto,qwen2.5-coder:7b,120,0,0,False,True
min (m::nat) n + k = min (m + k) (n + k),True,25.1190,auto,qwen2.5-coder:7b,646,1,0,False,True
max (m::nat) n + k = max (m + k) (n + k),True,19.5909,auto,qwen2.5-coder:7b,288,1,0,False,True
(m::nat) + 0 = m,True,14.0453,auto,qwen2.5-coder:7b,101,0,0,False,True
(0::nat) + m = m,True,14.5417,auto,qwen2.5-coder:7b,112,0,0,False,True
(m::nat) + Suc n = Suc (m + n),True,14.5874,auto,qwen2.5-coder:7b,128,0,0,False,True
(m::nat) * (n + k) = m*n + m*k,True,55.3945,auto,qwen2.5-coder:7b,120,0,0,False,True
min (m::nat) n ≤ m,True,16.1661,auto,qwen2.5-coder:7b,206,0,0,False,True
m ≤ max (m::nat) n,True,59.0911,auto,qwen2.5-coder:7b,149,1,0,False,True
(min (m::nat) n) + (max m n) = m + n,False,127.3397,auto,qwen2.5-coder:7b,208,0,0,True,True
sum_list (map (λ_. (k::nat)) xs) = k * length xs,False,128.2026,auto,qwen2.5-coder:7b,297,0,0,True,True
length ([m..<m+n]) = n,True,97.9935,auto,qwen2.5-coder:7b,134,0,0,False,True
map Suc ([m..<m+n]) = [Suc m ..< Suc (m+n)],False,611.6471,auto,qwen2.5-coder:7b,213,0,0,True,True
(m::nat) ≤ n ⟷ (∃k. m + k = n),False,132.6135,auto,qwen2.5-coder:7b,272,1,0,True,True
(m::nat) ≠ 0 ⟷ (∃k. m = Suc k),True,17.4494,auto,qwen2.5-coder:7b,299,0,0,False,True
abs ((a::int) - c) ≤ abs (a - b) + abs (b - c),True,78.9695,auto,qwen2.5-coder:7b,159,0,0,False,True
((a::int) + b) - c = a + (b - c),True,74.3644,auto,qwen2.5-coder:7b,129,0,0,False,True
((a::int) - b) + c = a + (c - b),True,25.4126,auto,qwen2.5-coder:7b,140,1,0,False,True
-( (a::int) - b ) = b - a,True,18.9251,auto,qwen2.5-coder:7b,164,1,0,False,True
abs ((a::int) + b) = abs (b + a),True,68.3042,auto,qwen2.5-coder:7b,137,0,0,False,True
min (a::int) b + c = min (a + c) (b + c),True,89.1403,auto,qwen2.5-coder:7b,147,0,0,False,True
max (a::int) b + c = max (a + c) (b + c),True,70.8595,auto,qwen2.5-coder:7b,145,0,0,False,True
(a::int) + 0 = a,True,87.2796,auto,qwen2.5-coder:7b,109,0,0,False,True
0 + (a::int) = a,True,25.0488,auto,qwen2.5-coder:7b,108,1,0,False,True
(a::int) + (b + c) = (a + b) + c,True,17.3904,auto,qwen2.5-coder:7b,174,1,0,False,True
"fst (x,y) = x",True,23.9962,auto,qwen2.5-coder:7b,111,1,0,False,True
"snd (x,y) = y",True,14.1692,auto,qwen2.5-coder:7b,114,0,0,False,True
"case_prod f (x,y) = f x y",True,16.3714,auto,qwen2.5-coder:7b,170,1,0,False,True
map_option id o = o,False,132.7521,auto,qwen2.5-coder:7b,455,0,0,True,True
map_sum id id s = s,True,106.7531,auto,qwen2.5-coder:7b,468,1,0,False,True
case_sum f g (Inr y) = g y,True,31.4556,auto,qwen2.5-coder:7b,140,1,0,False,True
